HIDDEN,NAME,ALIVE,YEAR_OF_DEATH,HINT,DOB,F_D_N,CELEBRITY_TYPE,DOD,ID
,Jackie Collins,,2015,Author of romance novels,10/4/1937,Fun,,,10604
,John McEnroe,ALIVE,,Tennis player,4/16/1959,,,,10605
,Billy Idol,ALIVE,,Pop star known for 'Cradle of Love',11/30/1955,,,,10606
,Richard Dreyfuss,ALIVE,,Jaws and Mr Hollands Opus actor,10/29/1947,,,,10607
,Jimmy Page,ALIVE,,Led Zeppelin guitarist,1/9/1944,,,,10608
,Michael Stipe,ALIVE,,REM lead singer,1/4/1960,,,,10609
,Christopher Walken,ALIVE,,Actor in 'Deer Hunter' and 'True Romance',3/31/1943,,,,10610
,Kirstie Alley,,2022,Actress on 'Cheers' and 'Look Whos Talking',1/12/1951,Fun,,12/5/2022,10611
yes,Roy Scheider,,2008,Jaws actor,11/10/1932,,,,10612
yes,Reginald VelJohnson,ALIVE,,Seargent Powell in Die Hard,8/16/1952,,,,10613
yes,Bonnie Bedelia,ALIVE,,Actress who played Bruce's wife in Die Hard,3/25/1948,,,,10614
,Erik Estrada,ALIVE,,Actor who played Ponch in 'CHiPs',3/16/1949,,,,10615
,Newt Gingrich,ALIVE,,Republican Speaker of the House of Representatives,6/17/1943,,,,10616
,James Dyson,ALIVE,,Inventor of coveted vacuums and hand dryers,5/2/1947,,,,10617
,Pervez Musharraf,ALIVE,,President of Pakistan from 2001 to 2008,8/11/1943,,,,10618
,Muammar Qaddafi,,2011,Leader of Libya,1/1/1942,,,,10619
,Dick Butkus,,2023,Chicago Bears linebacker and later actor,12/9/1942,Fun,,10/5/2023,10620
,Tony Dow,,2022,Wally Cleaver,4/13/1945,Fun,,7/27/2022,10621
,David Lee Roth,ALIVE,,Lead vocalist for Van Halen most of the time,10/10/1954,,,,10622
,Steven Tyler,ALIVE,,Lead singer for Aerosmith,3/26/1948,,,,10623
,Jimmy Choo,ALIVE,,Womens shoe designer,11/15/1948,,,,10624
,Vera Wang,ALIVE,,Fashion designer known for evening wear and wedding gowns,6/27/1949,,,,10625
,Anthony Hopkins,ALIVE,,Hannibal Lecter in 'The Silence of the Lambs',12/31/1937,,,,10626
,Nate Dogg,,2011,Warren G and Nate Dogg had to regulate,8/19/1969,,,,10627
,Warren G,ALIVE,,Warren G and Nate Dogg had to regulate,11/10/1970,,,,10628
,Steve Wozniak,ALIVE,,Co-founded Apple with Steve Jobs,8/11/1950,,,,10629
,Jerry Yang,ALIVE,,Founder of Yahoo,11/6/1968,,,,10630
,Joe Cocker,,2014,Sang 'You are so Beautiful',5/20/1944,,,,10631
,Ricky Schroder,ALIVE,,Child actor in 'Silver Spoons',4/13/1970,,,,10632
,Michael Milken,ALIVE,,Convicted bonds trader who inspired the Gordon Gekko character,7/4/1946,,,,10633
,T Boone Pickens,,2019,Oil man and corporate raider,5/22/1928,Fun,,9/11/2019,10634
,Wayne Newton,ALIVE,,Singer nicknamed Mr Las Vegas known for 'Danke Schoen',4/3/1942,,,,10635
,Robert Goulet,,2007,Mustached Singer and Actor seen in 'Beetlejuice' and 'Naked Gun 2.5',11/26/1933,,,,10636
,Kadeem Hardison,ALIVE,,Played Dwayne Wayne on 'A Different World',7/24/1965,,,,10637
,Regis Philbin,,2020,Host of talk shows and 'Who Wants to Be a Millionaire',8/25/1931,Fun,,7/24/2020,10638
,Kathie Lee Gifford,ALIVE,,Live with Regis and,8/16/1953,,,,10639
,Frank Gifford,,2015,NFL player and sportscaster and husband to Kathie Lee,8/16/1930,Fun,,,10640
,Ike Turner,,2007,Ex-husband and abuser of Tina,11/5/1931,,,,10641
,Dick Vitale,ALIVE,,Basketball announcer,6/9/1939,,,,10642
,Anne Heche,,2022,Actress in 'Return to Paradise' and 1998 'Psycho' remake,5/25/1969,Fun,,8/12/2022,10643
,Jimmy Connors,ALIVE,,Tennis star,9/2/1952,,,,10644
,Rita Marley,ALIVE,,Member of the Wailers and wife of Bob Marley,7/25/1946,,,,10645
,Phil Knight,ALIVE,,Founder of Nike,2/24/1938,,,,10646
,Charlotte Rae,,2018,Played Mrs Garrett on 'Different Strokes' and 'Facts of Life',4/22/1926,Fun,,,10647
,Betty Ford,,2011,Former First Lady of the United States,7/8/2011,,,,10648
,Jim McMahon,ALIVE,,Chicago Bears quarterback,8/21/1959,,,,10649
,Suge Knight,ALIVE,,Controversial former CEO of Death Row Records,4/19/1965,,,,10650
,Grandmaster Flash,ALIVE,,Pioneer of Hip Hop,1/1/1958,,,,10651
,Morgan Freeman,ALIVE,,Shawshank Redemption'' and 'Driving Miss Daisy' actor,6/1/1937,,,,10652
,Annie Leibovitz,ALIVE,,Photographer for Rolling Stone magazine and The Rolling Stones,10/2/1949,,,,10653
,Frank Gehry,ALIVE,,Architect of the Guggenheim in Spain and Disney Hall in LA,2/28/1929,,,,10654
,IM Pei,,2019,Architect of the Louvre pyramid and Rock and Roll Hall of Fame,4/26/1917,Fun,,5/16/2019,10655
,John Lewis,,2020,Civil rights activitst and Congressman,2/21/1940,Fun,,6/17/2020,10656
,John Nash,,2015,Mathematician for whom 'A Beautiful Mind' movie is based on,6/13/1928,,,5/23/2015,10657
,Gennifer Flowers,ALIVE,,Actress alleged to have had an affair with Bill Clinton,1/24/1950,,,,10658
,Linda Tripp,,2020,Pentagon employee who recorded Monica Lewinsky calls,11/24/1949,,,4/8/2020,10659
,Robert Guillaume,,2017,Actor from the TV Show 'Benson',11/30/1927,Fun,,10/24/2017,10660
,Dick Van Dyke,ALIVE,,Star of his own show and Mr Dawes Sr in original 'Mary Poppins',12/13/1925,,,,10661
,Jerry Van Dyke,,2018,Luther in the TV show 'Coach',7/27/1931,Fun?,,1/5/2018,10662
,Herbie Hancock,ALIVE,,Jazz keyboardist and composer,4/12/1940,,,,10663
,Alice Cooper,ALIVE,,Heavy metal singer with eye make-up,2/4/1948,,,,10664
,Bobcat Goldthwait,ALIVE,,Comedian who also starred in 'Police Academy' and 'One Crazy Summer',5/26/1962,,,,10665
,Bill O'Reilly,ALIVE,,Convservative TV show host,9/10/1949,,,,10666
,Willie Nelson,ALIVE,,Country music star and definitive Texan,4/29/1933,,,,10667
,Tommy Lasorda,,2021,LA Dodgers Baseball Manager,9/22/1927,Fun,,1/7/2021,10668
,Smokey Robinson,ALIVE,,Motown legend and front man of The Miracles,2/19/1940,,,,10669
,Quincy Jones,ALIVE,,Record producer nominated for 80 Grammys,3/14/1933,,,,10670
,Mikhail Gorbachev,,2022,Former head of the USSR,3/2/1931,Fun,,8/30/2022,10671
yes,Paul Sorvino,,2022,Pauly in Goodfellas,4/13/1939,Fun,,7/25/2022,10672
,Dee Snider,ALIVE,,Twisted Sister lead singer,3/15/1955,,,,10673
,Wayne Knight,ALIVE,,Newman in Seinfeld,9/7/1955,,,,10674
,Dusty Hill,,2021,ZZ Top bassist,5/19/1949,Fun,,7/28/2021,10675
,Calista Flockart,ALIVE,,Ally McBeal actress,11/11/1964,,,,10676
,Judy Blume ,ALIVE,,Young adult author,2/12/1938,,,,10677
,Oral Roberts,,2009,Christian televangelist,1/24/2018,,,12/15/2009,10678
,Jimmy Swaggart,ALIVE,,Christian televangelist,3/15/1935,,,,10679
,Jerry Falwell,,2007,Christian televangelist,8/11/1933,,,5/15/2007,10680
,Jim Bakker,ALIVE,,Christian televangelist and convicted fraudster,1/2/1940,,,,10681
yes,Pat Robertson DUPLICATE,,2023,Christian broadcaster and media mogul,3/22/1930,,,,10682
,Corbin Bernson,ALIVE,,Actor in Major League and LA Law ,9/7/1954,,,,10683
,Bob Woodward,ALIVE,,Wahsington Post Watergate reporter,3/26/1943,,,,10684
,Carl Bernstein,ALIVE,,Wahsington Post Watergate reporter,2/14/1944,,,,10685
,Pat Boone,ALIVE,,1950s pop singer,6/1/1934,,,,10686
,Ang Lee,ALIVE,,Director  of 'The Ice Storm' and 'Crouching Tiger' and 'Brokeback Mountain',10/23/1954,,,,10687
yes,Ai Weiwei,ALIVE,,Chinese artist and activist,8/28/1957,,,,10688
,Donna Summer,,2012,Nicknamed Queen of Disco who sang 'Hot Stuff',12/31/1948,DONE,,5/17/2012,10689
,James 'Whitey' Bulger,,2018,Organized crime boss in Massachusetts,9/3/1929,Fun,,10/30/2018,10690
,Condoleezza Rice,ALIVE,,Former US Secretary of State,11/14/1954,,,,10691
,Diane Keaton,ALIVE,,Actress in 'Annie Hall' and 'The Godfather',1/5/1946,,,,10692
,John Gotti,,2002,Organized crime boss in New York City,10/27/1940,,,6/10/2022,10693
,Daniel Stern,ALIVE,,Bad guy in 'Home Alone' and voice in 'The Wonder Years',8/28/1957,,,,10694
,Fidel Castro,,2016,Cuban,8/13/1926,Fun,,11/25/2016,10695
,Raul Castro,ALIVE,,Cuban and brother of Fidel,6/3/1931,,,,10696
,Kobe Bryant,,2020,Los Angeles Lakers NBA star,8/23/1978,Fun,,1/26/2020,10697
yes,Ron Jeremy,ALIVE,,Pornography actor,3/12/1953,,,,10698
yes,John Holmes,,1988,1970s pornography actor,8/8/1944,,,3/13/1988,10699
,Albert Brooks,ALIVE,,Comedian and actor including 'Broadcast News' and 'Lost in America',7/22/1947,,,,10700
,Michelle Pfeiffer,ALIVE,,Actress in 'Scarface' and 'Dangerous Minds' and as Catwoman,4/29/1958,,,,10701
,Liza Minnelli,ALIVE,,Actress and Singer,3/12/1946,,,,10702
,Sammy Hagar,ALIVE,,Singer and Van Halen member and Cabo Wabo founder,10/13/1947,,,,10703
,El Chapo,ALIVE,,Mexican drug lord aka Joaquin Guzman,4/4/1957,,,,10704
,Chuck Yeager,,2020,First pilot to break the sound barrier,2/3/1923,Fun,,12/7/2020,10705
,Bernard Shaw,,2022,First lead news anchor for CNN not the author George Bernard Shaw,5/22/1940,,,9/7/2022,10706
,Maury Povich,ALIVE,,Host of his own talk show and husband to Connie Chung,1/17/1939,,,,10707
,Jonathan Goldsmith,ALIVE,,Played Dos Equis' Most Interesting Man in the World,9/26/1938,,,,10708
,Ken Starr,,2022,Lawyer on investigation into Bill Clinton and Monica Lewinksy affair,7/21/1946,Fun,,9/13/2022,10709
,George Lucas,ALIVE,,Director who created Star Wars and Indiana Jones,5/4/1944,,,,10710
,Tim Allen,ALIVE,,Star of 'Home Improvement' tv show and 'The Santa Clause' movies,6/13/1953,,,,10711
,Coolio,,2022,Rapper known for 'Gangstas Paradise' and 'Fantastic Voyage',8/1/1963,Fun,,9/28/2022,10712
,David Mamet,ALIVE,,Glengarry Glen Ross playwright,11/30/1947,,,,10713
,Fred Thompson,,2015,Tennessee Senator and prominent movie actor including 'Hunt for Red October',8/19/1942,Fun,,11/1/2015,10714
,Sylvester Stallone,ALIVE,,Actor who played Rambo and Rocky Balboa,7/6/1946,,,,10715
,John Travolta,ALIVE,,Actor in 'Grease' and 'Saturday Night Fever' and 'Pulp Fiction',2/18/1954,,,,10716
,Big Daddy Kane,ALIVE,,Rapper known for fast rhyming and song 'Aint No Half Steppin',9/10/1968,,,,10717
,Nora Ephron,,2012,Writer of When Harry Met Sally,5/19/1941,DONE,,6/26/2012,10718
,Gallagher,,2022,Watermelon-smashing comedian,7/24/1946,Fun,,11/11/2022,10719
,Joan Didion,,2021,Primarily nonfiction writer known for 'Slouching Towards Bethlehem',12/5/1934,Fun,,12/23/2021,10720
,George Carlin,,2008,Counterculture comedian known for 'seven dirty words' routine,5/12/1937,,,6/22/2008,10721
,Eddie Bauer,,1986,Outdoorsman and businessman with a namesake clothing brand,10/19/1899,,,,10722
,George Thorogood,ALIVE,,Bad to the Bone' singer,2/24/1950,,,,10723
,Angela Bassett,ALIVE,,Actress in 'Waiting to Exhale' and 'How Stella Got Her Groove Back',8/16/1958,,,,10724
,Fran Lebowitz,ALIVE,,New York writer and social commentator,10/27/1950,,,,10725
,Fran Drescher,ALIVE,,High-pitched actress and comedian known for TV show 'The Nanny',9/30/1957,,,,10726
,Maharishi Mahesh Yogi,,2008,Guru to The Beates and creator of Transcendental Meditation,1/12/1918,,,2/5/2008,10727
,Manuel Noriega,,2017,Dictator of Panama who spurred the 1989 US Invasion,2/11/1934,Fun?,,5/29/2017,10728
,Peter O'Toole,,2013,Film Actor in 'Lawrence of Arabia' and 'My Favorite Year' and 'King Ralph',8/2/1932,Fun,,12/14/2013,10729
,Robbie Coltrane,,2022,Played Hagrid in the Harry Potter series,3/30/1950,Fun,,10/14/2022,10730
,Steve Jobs,,2011,Co-founder and CEO of Apple credited with inventing the iPhone,2/24/1955,,,10/5/2011,10731
,Dustin Hoffman,ALIVE,,Actor in 'The Graduate' and 'Tootise' and 'Rain Man',8/8/1937,,,,10732
,Robert Redford,ALIVE,,Actor in 'The Natural' and 'Out of Africa' and founder of Sundance,8/18/1936,,,,10733
,Al Pacino,ALIVE,,Actor in 'The Godfather' and 'Scarface' and 'Scent of a Woman',4/25/1940,,,,10734
,Vin Scully,,2022,Sports and Baseball announcer,11/29/1927,Fun?,,8/2/2022,10735
,Winnie Mandela,,2018,Activist and ex-wife of Nelson Mandela,9/26/1936,,,,10736
,Glen Bell,,2010,Founder of Taco Bell Yes it's actually named after a person,9/3/1923,,,,10737
,Jimmy Buffett,,2023,Singer of 'Margaritaville',12/25/1946,Fun,,9/1/2023,10738
,Warren Buffett,ALIVE,,Billionaire investor from Omaha,8/30/1930,,,,10739
,Jimmy John Liautaud,ALIVE,,Founder of the Jimmy John sandwich chain,1/12/1964,,,,10740
,Jimmy Choo,ALIVE,,Designer of expensive shoes,11/15/1948,,,,10741
,Steve Winwood,ALIVE,,Rock singer known for 'Higher Love' and 'Roll With It',5/12/1948,,,,10742
,Pope Benedict XVI,,2022,Pope following John Paul II and before Francis,4/16/1927,Fun,,12/31/2022,10743
,Ben Kingsley,ALIVE,,English actor known for 'Gandhi' and 'Schindler's List' and 'Shutter Island',12/31/1943,,,,10744
,Mario Andretti,ALIVE,,Race car driver,2/28/1940,,,,10745
,Chadwick Boseman,,2020,Actor in 'Black Panther' and '42',11/29/1976,Fun,,8/28/2020,10746
,Robert Plant,ALIVE,,Lead singer of Led Zeppelin,8/20/1948,,,,10747
,Jeff Beck,,2023,English guitarist,1/1/1943,Fun,,1/10/2023,10748
yes,Avicii,,2018,Swedish DJ,9/8/1989,Fun,,,10749
yes,Nipsy Hussle,,2019,Rapper and entrepreneur,8/15/1985,Fun,,3/31/2019,10750
,Lisa Marie Presley,,2023,Daughter of Elvis and also a singer,2/1/1968,Fun,,1/12/2023,10751
,John Lithgow,ALIVE,,3rd Rock From The Sun actor,10/19/1945,,,,10752
,Robert Palmer,,2003,Simply Irresistible and Addicted to Love singer,1/19/1949,,,9/26/2003,10753
yes,Rodriguez,,2023,Sang 'Sugar Man' and documented in 'Searching for Sugar Man' film,7/10/1942,Fun,,8/8/2023,10754
,Linda Ronstadt,ALIVE,,Mulit-genre singer and heartthrob,7/15/1946,,,,10755
yes,Cindy Williams,,2023,Played Shirley on 'Laverne & Shirley' alongside Penny Marshall,8/22/1947,,,1/25/2023,10756
,Al Sharpton,ALIVE,,Minister and Civil Rights Activist and Talk Show Host,10/3/1954,,,,10757
,Huey Lewis,ALIVE,,Singer and harmonica player known for 'The Power of Love',7/5/1950,,,,10758
,Bruce Springsteen,ALIVE,,Rock and roller from New Jersey who sang 'Born in the USA',9/23/1949,,,,10759
,Johnny Rotten,ALIVE,,Lead singer of The Sex Pistols,1/31/1956,,,,10760
,Sebastian Bach,ALIVE,,Lead singer of Skid Row,4/3/1968,,,,10761
,Nikki Six,ALIVE,,Bassist and co-founder of Motley Crue,12/11/1958,,,,10762
yes,Paul Walker,,2013,Star of Fast and Furious franchise,9/12/1973,Fun,,11/30/2013,10763
,Iggy Pop,ALIVE,,Godfather of punk rock,4/21/1947,,,,10764
,Rick James,,2004,Funk singer of 'Super Freak',2/1/1948,,,,10765
,Jack Nicklaus,ALIVE,,Professional golfer and golf course designer,1/21/1940,,,,10766
,Cheech Marin,ALIVE,,Of the stoner comedy duo Cheech & Chong,7/13/1946,,,,10767
,Tommy Chong,ALIVE,,Of the stoner comedy duo Cheech & Chong,5/24/1938,,,,10768
,David Byrne,ALIVE,,Lead singer of the band Talking Heads,5/14/1952,,,,10769
,Henry Winkler,ALIVE,,Actor who played Fonzie in 'Happy Days' TV show,10/30/1945,,,,10770
,Frankie Valli,ALIVE,,Falsetto singer and frontman of the Four Seasons pop group,5/3/1934,,,,10771
,Barry White,,2003,Deep voiced singer known for 'Cant get enough of your love Baby',9/12/1944,,,,10772
,Barry Manilow,ALIVE,,Singer Songwriter of hits including at the 'Copacabana',6/17/1943,,,,10773
,Carly Simon,ALIVE,,Singer of hits including 'Youre So Vain' and 'Nobody Does It Better',6/25/1943,,,,10774
,Robert Smith,ALIVE,,Lead singer of The Cure,4/21/1959,,,,10775
,Billy Crystal,ALIVE,,Comedian and Actor from 'City Slickers' and 'When Harry Met Sally',3/14/1948,,,,10776
yes,Meadowlark Lemon,,2015,Harlem Globetrotter,4/15/1932,,,,10777
yes,Norman Lear,,2023,TV producer for All in the Family and The Jeffersons,7/27/1922,Fun,,12/5/2023,10778
,Paul Shaffer,ALIVE,,Band Leader on Dave Letterman,11/28/1949,,,,10779
,Betty Friedan,,2006,Writer of 'The Feminine Mystique' and Feminism Activist,2/4/1921,,,,10780
,Gloria Steinem,ALIVE,,Feminist Activist and Journalist,3/25/1934,,,,10781
yes,Lance Reddick,,2023,Actor who played Cedric in 'The Wire' and Charon in 'John Wick' movies,6/7/1962,Fun,,3/17/2023,10782
yes,Tom Sizemore,,2023,Actor in 'Saving Private Ryan' and 'Heat',11/29/1961,,,,10783
,Queen Latifah,ALIVE,,Ex-rapper and Actress,3/18/1970,,,,10784
,Gordon Moore,,2023,Created Moore's law about exponential growth and co-founder of Intel,1/3/1929,Fun,,3/24/2023,10785
,Garrison Keillor,ALIVE,,Author and radio host of 'Prairie Home Companion',8/7/1942,,,,10786
,Gladys Knight,ALIVE,,Soul singer of 'Midnight Train to Georgia' and original 'Heard It Through the Grapevine',5/28/1944,,,,10787
,Elizabeth Dole,ALIVE,,North Carolina Senator and wife of Bob Dole,7/29/1936,,,,10788
,Bo Diddley,,2008,Blues Guitarist and Singer,12/30/1928,,,,10789
,Elvis Costello,ALIVE,,English Singer-Songwriter,8/25/1954,,,,10790
,Luther Vandross,,2005,R&B Singer,4/20/1951,,,,10791
,Jessica Lange,ALIVE,,Actress in 'King Kong' and 'Tootsie',4/20/1949,,,,10792
yes,Tom Hayden,,2016,One of Chicago Seven and activisit founder of Students for Democratic Society,12/11/1939,Fun?,,,10793
yes,Al Jaffee,,2023,Cartoonist at Mad Magazine,3/13/1921,Fun?,,4/10/2023,10794
,Paulo Coehlo,ALIVE,,Writer of The Aclhemist,8/24/1947,,,,10795
,James Carville,ALIVE,,Political consultant known as the Ragin Cajun,10/25/1944,,,,10796
yes,Leslie Jordan,,2022,4 ft 11 actor with Southern drawl in 'Will & Grace' and 'Ski Patrol',4/29/1955,Fun,,10/24/2022,10797
,Gordon Lightfoot,,2023,Canadain folk-pop signer of 'Sundown' and other hits,11/17/1938,Fun,,5/1/2023,10798
,Bob Vila,ALIVE,,Host of tv shows about home improvement including 'This Old House',6/20/1946,,,,10799
,Steve Martin,ALIVE,,Actor and Comedian,8/14/1945,,,,10800
yes,Vida Blue,,2023,Baseball pitcher for the A's and League MVP winner,7/28/1949,,,5/6/2023,10801
,Martin Short,ALIVE,,Comedic Actor from SNL and 'Three Amigos' and 'Innerspace',3/26/1950,,,,10802
yes,George Winston,,2023,New age pianist,2/11/1949,Fun?,,6/4/2023,10803
,Annie Lennox,ALIVE,,Lead singer for the Eurythmics wtih popular close-cropped hairstyle,12/25/1954,,,,10804
,Randy Travis,ALIVE,,Country singer,5/4/1959,,,,10805
,Margot Kidder,,2018,Played Louis Lane in the original Superman movies,10/17/1948,Fun?,,,10806
ywa,Bob Gibson,,2020,Baseball pitcher fo the St Louis Cardinals,11/9/1935,Fun,,,10807
,Sandra Bernhard,ALIVE,,Stand up comedian and actress,6/6/1965,,,,10808
,Gary Sinise,ALIVE,,Lieutenant Dan in Forrest Gump,3/17/1955,,,,10809
yes,MF Doom,,2020,British-American Rapper with metal mask,7/13/1971,Fun,,10/31/2020,10810
,Charlie Watts,,2021,Drummer for the Rolling Stones,6/2/1941,Fun,,8/24/2021,10811
,Penn Jillette,ALIVE,,Magician and half of Penn and Teller,3/5/1955,,,,10812
,Teller,ALIVE,,Full name Raymond Teller who is a magician and half of Penn and Teller,2/14/1958,,,,10813
yes,Bobbie Nelson,,2022,Willie's sister and piano player in his band,1/1/1931,Fun?,,3/10/2022,10814
,Tracy Chapman,ALIVE,,Singer of 'Fast Car' and 'Give Me One Reason',3/30/1964,,,,10815
yes,Mike Nichols,,2014,Director of 'The Graduate' and 'The Birdcage' and 'Charlie Wilson's War',11/6/1931,Fun,,,10816
,Charlie Daniels,,2020,Country singer of 'The Devil Went Down to Georgia',10/28/1936,Fun,,,10817
,Pat Sajak,ALIVE,,Host of Wheel of Fortune,10/26/1946,,,,10818
,Vanna White,ALIVE,,Co-host of Wheel of Fortune,2/18/1957,,,,10819
,Fabio,ALIVE,,Italian-American male model often seen on romance novel covers,3/15/1959,,,,10820
yes,Lee Kun Hee,,2020,Chairman of Samsung often listed as Top 50 most powerful people in the world,1/9/1942,Fun?,,,10821
,Jack Handey,ALIVE,,SNL writer of 'Deep Thoughts',2/25/1949,,,,10822
,Angus Young,ALIVE,,Lead signer for AC/DC,3/31/1955,,,,10823
yes,Roger Craig,,2023,Baseball player and coach who managed SF Giants in 1989 World Series win,2/17/1930,,,6/4/2023,10824
,Randy Newman,ALIVE,,Singer and composer known for film songs including many Pixar ones,11/28/1943,,,,10825
,Toni Morrison,,2019,Writer of novels including 'Beloved',2/18/1931,Fun,,,10826
,Morrissey,ALIVE,,Lead signer of The Smiths,5/19/1955,,,,10827
,Perry Farrell,ALIVE,,Lead signer of Jane's Addiction and founder of Lollapalooza,3/29/1959,,,,10828
,Rick Rubin,ALIVE,,Record producer and executive for rap and metal and country,3/10/1963,,,,10829
,Neneh Cherry,ALIVE,,Pop star and singer of 'Buffalo Stance',3/10/1964,,,,10830
,Jimmy JJ Walker,ALIVE,,Comic who played JJ on the TV show 'Good Times',6/25/1947,,,,10831
,Trader Joe,,2020,aka Joe Coloumbe who founded Trader Joe's grocery store,6/3/1930,Fun,,,10832
yes,Joseph Pedott,,2023,Businessman who popularized the Chia Pet and The Clapper,4/14/1932,Fun,,6/22/2023,10833
yes,David Gilmour,,2023,Founder of Fiji Water,11/5/1931,,,6/11/2023,10834
,Sinead O'Connor,,2023,Irish singer with the hit 'Nothing Compares 2 You',12/8/1966,Fun,,7/26/2023,10835
,Ted Koppel,ALIVE,,Broadcast Journalist known for 'Nightline',2/8/1940,,,,10836
yes,Milan Kundera,,2023,Novelist known for 'The Unbearable Lightness of Being',4/1/1929,,,7/11/2023,10837
,Michael Caine,ALIVE,,Acclaimed British actor,3/4/1933,,,,10838
,Ron Howard,ALIVE,,Happy Days' star turned director of 'Backdraft' and 'Apollo 13',3/1/1954,,,,10839
,Pee Wee Herman,,2023,aka Paul Reubens and star of his own Big Adventure and Playhouse,8/27/1952,Fun,,7/30/2023,10840
,Sam Shepard,,2017,Actor in 'The Right Stuff' and 'Black Hawk Down' and Playwright and Director,11/5/1943,Fun,,,10841
,Aaron Spelling,,2006,Producer of 'The Love Boat' and 'Beveryl Hills 90210' and 'Melrose Place',4/22/1932,,,,10842
,Oscar De La Renta,,2014,Fashion Designer,7/22/1932,Fun,,,10843
,Boutros Boutros Ghali,,2016,Secretary General of the UN from Egypt,11/14/1922,Fun,,,10844
,Ronnie Spector,,2022,Lead singer of the Ronnettes and 'original bad girl of rock n roll',8/10/1943,Fun,,1/12/2022,10845
,Howard Dean,ALIVE,,Governor of Vermont and 2004 Democratic canddiate for president,11/17/1948,,,,10846
yes,Fernando Botero,,2023,South American artist known for exaggerated portly sculptures,4/19/1932,,,9/15/2023,10847
yes,Brooks Robinson,,2023,Baseball player for Baltimore Orioles,5/18/1937,,,9/26/2023,10848
,Burt Reynolds,,2018,Mustached actor in 'Smokey and the Bandit' and 'Cannonball Run',2/11/1936,DONE,,9/6/2018,10849
,Suzanne Somers,,2023,Actress in 'Threes Company',10/16/1946,Fun,,10/15/2023,10850
yes,Roland Griffiths,,2023,Neuroscientist and psychedelic researcher,7/19/1946,Fun,,10/16/2023,10851
yes,Richard Roundtree,,2023,Actor in the original 'Shaft',7/9/1942,Fun,,10/24/2023,10852
yes,Matthew Perry,,2023,Actor who played Chandler in 'Friends',8/19/1969,Fun,,10/28/2023,10853
,Bobby Knight,,2023,Basketball coach for Indiana University,10/25/1940,Fun,,11/1/2023,10854
,Andrew Lloyd Webber,ALIVE,,Musical theater composer including 'Cats' and 'Jesus Christ Superstar',3/22/1948,,,,10855
,Ken Burns,ALIVE,,Documentary filmmaker,7/29/1953,,,,10856
,Bo Derek,ALIVE,,Model and actress known for '10' and 'Tarzan',11/20/1956,,,,10857
yes,Eddie Bernice Johnson,,2023,Congresswoman from Texas,12/3/1934,,,12/31/2023,10858
,Toby Keith,,2024,Country music singer,7/8/1961,Fun,,2/5/2024,10859
yes,Tom Smothers,,2023,Younger half of the Smothers Brothers comedy duo,2/2/1937,Fun,,12/26/2023,10860
yes,Richard Lewis,,2024,Comedian and recurring co-star in 'Curb Your Enthusiasm',6/29/1947,Fun,,2/27/2024,10861
,Ravi Shanksr,,2012,Indian sitar player and father of Norah Jones,4/7/1920,Fun,,12/11/2012,10862
,Bruce Willis,ALIVE,,Star of 'Die Hard' and 'Pulp Fiction' and 'The Sixth Sense',3/19/1955,,,,10863
,Christian Slater,ALIVE,,Actor in 'Pump up the Volume' and 'Heathers' and 'True Romance',8/18/1969,,,,10864
,Kevin Spacey,ALIVE,,Actor in 'American Beauty' and 'The Usual Suspects' and 'House of Cards',6/26/1959,,,,10865
yes,Daniel Kahneman,,2024,Behavioral economist and writer who pioneered study of decision making,3/5/1934,,,3/27/2024,10866
,OJ Simpson,,2024,Defamed football player,7/9/1947,Fun,,4/11/2024,10867